Method,Age_Group,n,OR,CI_L,CI_U
Complete-case,18-24,168436,0.892,0.89,0.895
Complete-case,25-34,350936,0.799,0.797,0.801
Complete-case,35-44,426824,0.665,0.663,0.666
Complete-case,45-54,509392,0.529,0.528,0.53
Complete-case,55-64,669293,0.505,0.504,0.506
Complete-case,65+,1117337,0.533,0.532,0.535
Imputed,18-24,226747,0.895,0.893,0.898
Imputed,25-34,393821,0.797,0.796,0.799
Imputed,35-44,468075,0.651,0.65,0.653
Imputed,45-54,568728,0.517,0.516,0.519
Imputed,55-64,763056,0.486,0.485,0.487
Imputed,65+,1383170,0.516,0.515,0.517
