Period,Age,n,OR,CI_L,CI_U
Pre-COVID,18-24,82927,0.846,0.806,0.889
Pre-COVID,25-34,173413,0.772,0.747,0.798
Pre-COVID,35-44,204225,0.663,0.644,0.684
Pre-COVID,45-54,268254,0.536,0.523,0.55
Pre-COVID,55-64,365635,0.542,0.53,0.554
Pre-COVID,65+,562345,0.57,0.558,0.582
COVID,18-24,32973,0.847,0.787,0.912
COVID,25-34,69124,0.82,0.779,0.863
COVID,35-44,85501,0.66,0.631,0.691
COVID,45-54,95550,0.534,0.512,0.557
COVID,55-64,121278,0.468,0.451,0.486
COVID,65+,203502,0.522,0.505,0.54
Post-COVID,18-24,52536,0.967,0.911,1.025
Post-COVID,25-34,108399,0.789,0.758,0.82
Post-COVID,35-44,137098,0.641,0.619,0.663
Post-COVID,45-54,145588,0.502,0.486,0.519
Post-COVID,55-64,182380,0.47,0.456,0.484
Post-COVID,65+,351490,0.496,0.483,0.508
